"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.47uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C2","15pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C3","5pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C4,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","16",""
"C8","470uF","~","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1",""
"D1","RUN","~","LED_THT:LED_D5.0mm","1",""
"D2","OP5","~","LED_THT:LED_D5.0mm","1",""
"D3","OP7","~","LED_THT:LED_D5.0mm","1",""
"D4","OP4","~","LED_THT:LED_D5.0mm","1",""
"D5","OP6","~","LED_THT:LED_D5.0mm","1",""
"J1","CompactFlash","~","Computie_Connectors:CF-Card_3M_N7E50-Q516RB-40","1",""
"J2","Serial1","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J3","Serial2","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J4","ADBUS-EXP","~","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical","1",""
"J5","ADBUS","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"J6","SIGBUS","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"J7","Screw_Terminal_01x02","~","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal","1",""
"JP1","ROMJMP","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"JP2","IRQ","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"JP3","~{IACK}","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"JP4,JP5","POWER","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"JP6","ENABLE","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"JP7","PULLUP","~","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","1",""
